epoch;acc;loss;val_acc;val_loss
0;0.2880116960110023;2.282905717063368;0.2710526331474907;2.0779444318068654
1;0.3935672515142731;1.6759455070160982;0.23684210557686655;2.0616049866927297
2;0.4467836258007072;1.5556818821276837;0.2710526306378214;2.0135287548366345
3;0.48567251461988303;1.4553246836913258;0.18947368483794363;2.034144946148521
4;0.5114035089810689;1.35097322756784;0.2894736857790696;1.8642398056231047
5;0.5517543859649123;1.2359582477145725;0.2710526312652387;1.9030961952711407
6;0.5891812866194206;1.1561511409212972;0.22105263377490797;2.0991276515157598
7;0.6032163744084319;1.1148633511442887;0.14473684218369032;2.167808038310001
8;0.6131578949459812;1.0642792961053682;0.2078947371558139;2.255856722279599
9;0.6412280701754386;0.979678577916664;0.13421052655107096;2.3775312498996133
10;0.6684210528407181;0.9185790628020526;0.13157894760370253;2.449698116904811
11;0.6622807016846729;0.9186796281072829;0.105263158443727;2.3466403283570942
12;0.6853801170984904;0.8616175957590516;0.12105263181422886;2.410792887838263
13;0.6988304095658643;0.8180825938258255;0.0947368426542533;2.6641902020103054
14;0.7093567250067727;0.8004788758461936;0.1368421063611382;2.5306052584397167
15;0.7184210524921528;0.7687156945641278;0.11578947407634635;2.7676205158233644
16;0.736842105332871;0.7217773124488474;0.13421052741376976;2.422995080445942
17;0.7476608185740242;0.7006574225704573;0.14736842113105875;2.459583586140683
18;0.7605263159288997;0.657337154631029;0.1368421054984394;2.707254349557977
19;0.7628654972154495;0.6447256250688207;0.07368421064395654;3.1224865662424186
20;0.7769005847953216;0.6078817656862805;0.13157894760370253;2.810667213640715
21;0.7663742689361349;0.6241398831557112;0.12894736865633413;2.7545494882684003
22;0.7733918127957841;0.5994307112275509;0.10789473723424109;2.671857876526682
23;0.7856725146198831;0.5900457409390232;0.15789473794008557;2.4568037660498367
24;0.7906432747143751;0.5465213515605146;0.24473684226211748;1.9825697534962705
25;0.7988304094961513;0.5546859630367212;0.19473684210526315;2.179475480631778
26;0.8073099413113287;0.5098527853251897;0.23684210542001222;2.3355371851670115
27;0.8184210524224398;0.49745882805327923;0.3684210513767443;1.7638209669213547
28;0.8181286551798993;0.4814469425998933;0.30263158020220304;2.040985926828886
29;0.8342105264552155;0.4524781878231562;0.25263157894736843;2.0083494625593485
30;0.8233918128654971;0.4767174837184928;0.21842105263157896;2.1486535549163817
31;0.8429824561403508;0.44678560829999153;0.350000000941126;1.8252180639066193
32;0.8409356724449069;0.4362067375615326;0.23684210526315788;2.4949808873628316
33;0.8403508771232694;0.4157103504353796;0.37105262969669545;1.8354286871458354
34;0.8523391813562627;0.41019102450002703;0.40526315883586284;1.614886989091572
35;0.8511695905735618;0.39474381180534585;0.5026315833392896;1.3198899708296123
36;0.8526315787382294;0.4012674788285417;0.2684210545138309;1.976170815919575
